,goodsname,goodsprice
156,하이츄포도맛,800
157,로아카)다크초콜릿2500,2500
158,로아카)밀크초콜릿2500,2500
159,로아카)화이트초콜릿2500,2500
160,서주)비밀젤리1500,1500
161,서주)톡한입베어달고나맛2500,2500
162,서주)톡한입베어꿀젤리허니레몬,3000
163,서주)톡한입베어복숭아맛3000,3000
164,서주)톡한입베어콜라맛3000,3000
165,서주)톡한입베어포도맛3000,3000
166,서주)탱글탱글젤리(샤인머스켓),2000
167,서주)탱글탱글젤리(포도)2000,2000
168,크라운)마이쮸(딸기)800,800
169,크라운)마이쮸(복숭아)800,800
170,크라운)마이쮸(사과)800,800
171,크라운)마이쮸(포도)800,800
172,크라운)땅콩카라멜2000,2000
173,크라운)핑크퐁새콤달콤5000,5000
174,크라운)키커바1000,1000
175,크라운)키커바시리얼1000,1000
176,크라운)고단백질초코바1500,1500
177,에이스)흑당솔티드카라멜1200,1200
178,에이스)라인초코크런치1000,1000
179,하늘)치즈오레초코볼3000,3000
180,일신)군고구마초코볼1800,1800
181,일신)쥬시드랍블라스트1500,1500
182,일신)트리플파워푸쉬팝레드3000,3000
183,리콜라)레몬민트1500,1500
184,리콜라)크랜베리1500,1500
185,오리온)사워꿈틀이1000,1000
186,오리온)젤리데이포도복숭아1000,1000
187,오리온)와우소다껌500,500
188,오리온)와우톡톡콜라껌500,500
189,오리온)와우포도껌500,500
190,오리온)미쯔볼쿠키앤크림1200,1200
191,오리온)닥터유단백질볼1500,1500
192,페레로)킨더부에노1500,1500
193,허쉬)밀크더즈2800,2800
194,미성)거봉젤리5000,5000
195,삼경)하리보메가룰렛1100,1100
196,삼경)하리보메가룰렛사우어1100,1100
197,갓생기획)노티드슈가베어젤리54G,1200
198,롯데)허쉬오버로드1500,1500
199,허쉬)밀크초콜릿1500,1500
200,허쉬)아몬드초콜릿1500,1500
201,허쉬)쿠키앤초코초콜릿1500,1500
202,허쉬)쿠키앤크림초콜릿1500,1500
203,롯데)더블크런치쿠키앤크림1000,1000
204,롯데)크런키더블크런치1000,1000
205,롯데)크런키초코바1000,1000
206,롯데)가나다크밀크2000,2000
207,롯데)가나마일드2000,2000
208,롯데)가나밀크2000,2000
209,롯데)핵짱셔요콜라1000,1000
210,롯데)핵짱셔요후르츠1000,1000
211,롯데)목캔디1000,1000
212,롯데)목캔디믹스베리1000,1000
213,롯데)후라보노1000,1000
214,롯데)후라보노마일드1000,1000
215,롯데)후라보노아이스1000,1000
216,훼밀리)아폴로700,700
217,더스윗)틱톡꿀젤리흑당달고나,3000
218,더스윗)틱톡젤리딸기3000,3000
219,더스윗)틱톡젤리포도3000,3000
220,네슬레)프루팁스(대)3800,3800
221,네슬레)프루팁스리치맛(대)3800,3800
222,네슬레)킷캣청키프룻비스킷1200,1200
223,네슬레)프루팁스말랑베리믹스,1500
224,네슬레)프루팁스말랑오리지널,1500
225,네슬레)프루팁스말랑트로피컬,1500
226,네스퀵)초코웨하스1200,1200
227,마즈)M&MS크리스피1200,1200
228,마즈)이클립스스트로베리2500,2500
229,마즈)이클립스스피어민트2500,2500
230,마즈)이클립스페퍼민트2500,2500
231,마즈)이클립스피치2500,2500
232,마즈)스키틀즈사우워1000,1000
233,마즈)스키틀즈오리지널1000,1000
234,마즈)스키틀즈요거트1000,1000
235,마즈)트윅스탑싱글700,700
236,마즈)트윅스미니사이즈300,300
237,씨믹스)딸기머쉬멜로우1800,1800
238,씨믹스)바나나초코머쉬멜로우,1800
239,씨믹스)복숭아젤리필링머쉬멜로,1800
240,씨믹스)사과필링머쉬멜로우,1800
241,씨믹스)크런치구미멀티컬러베리,1800
242,씨믹스)크런치구미핑크베리1800,1800
243,씨믹스)계란후라이젤리2000,2000
244,씨믹스)핑크퐁상어가족젤리2000,2000
245,SM)팝핑껌1000,1000
246,SM)추억의달구나1500,1500
247,흥선)밀카칩스아호이2900,2900
248,흥선)초코스톤800,800
249,흥선)무지개젤리2400,2400
250,흥선)BBQ마쉬멜로우3000,3000
251,흥선)주사위캔디1200,1200
252,몬델리즈)호올스XS레몬민트,1500
253,몬델리즈)호올스XS멘토립투스,1500
254,몬델리즈)호올스XS후르츠믹스,1500
255,흥선)아이스붐딸기맛1500,1500
256,흥선)아이스붐레몬맛1500,1500
257,흥선)아이스붐복숭아맛1500,1500
258,흥선)아이스붐자몽맛1500,1500
259,동아)박카스맛젤리(신맛)1200,1200
260,동아)박카스맛젤리1200,1200
261,워헤즈)올믹스업1800,1800
262,워헤즈)익스트림사워캔디1800,1800
263,오리온)닥터유UP에너지껌4000,4000
264,오리온)닥터유UP클린껌4000,4000
265,고운벗)삼겹살모양젤리1200,1200
266,해태)연양갱(흑임자)900,900
267,해태)연양갱900,900
268,해태)자유시간들1500,1500
269,해태)자유시간골드1000,1000
270,해태)자유시간아몬드1000,1000
